date,province,region,metric,value
1/1/2019,Nakhon Si Thammarat ,south,no_tourist_all,384120
1/1/2019,Narathiwat ,south,no_tourist_all,66654
1/1/2019,Krabi ,south,no_tourist_all,564380
1/1/2019,Songkhla ,south,no_tourist_all,774786
1/1/2019,Trat ,east,no_tourist_all,224218
1/1/2019,Phang Nga ,south,no_tourist_all,536274
1/1/2019,Chonburi ,east,no_tourist_all,1570327
1/1/2019,Phetchaburi ,central,no_tourist_all,713674
1/1/2019,Phra Nakhon Si Ayutthaya ,central,no_tourist_all,730329
1/1/2019,Saraburi ,central,no_tourist_all,207236
1/1/2019,Chainat ,central,no_tourist_all,79073
1/1/2019,Nakhon Pathom ,central,no_tourist_all,296107
1/1/2019,Sing Buri ,central,no_tourist_all,49438
1/1/2019,Ang Thong ,central,no_tourist_all,104097
1/1/2019,Nonthaburi ,central,no_tourist_all,323717
1/1/2019,Pathum Thani ,central,no_tourist_all,233295
1/1/2019,Samut Prakan ,central,no_tourist_all,408652
1/1/2019,Samut Sakhon ,central,no_tourist_all,109253
1/1/2019,Chachoengsao ,east,no_tourist_all,270438
1/1/2019,Ratchaburi ,central,no_tourist_all,236440
1/1/2019,Kanchanaburi ,central,no_tourist_all,752901
1/1/2019,Samut Songkhram ,central,no_tourist_all,201751
1/1/2019,Suphan Buri ,central,no_tourist_all,235981
1/1/2019,Prachuap Khiri Khan ,central,no_tourist_all,639052
1/1/2019,Lopburi ,central,no_tourist_all,268664
1/1/2019,Surat Thani ,south,no_tourist_all,540614
1/1/2019,Kamphaeng Phet ,north,no_tourist_all,74421
1/1/2019,Nakhon Phanom ,east_northeast,no_tourist_all,104305
1/1/2019,Nakhon Ratchasima ,east_northeast,no_tourist_all,1012772
1/1/2019,Buriram ,east_northeast,no_tourist_all,185563
1/1/2019,Maha Sarakham ,east_northeast,no_tourist_all,72804
1/1/2019,Mukdahan ,east_northeast,no_tourist_all,218485
1/1/2019,Roi Et ,east_northeast,no_tourist_all,84761
1/1/2019,Loei ,east_northeast,no_tourist_all,212225
1/1/2019,Sisaket ,south,no_tourist_all,185521
1/1/2019,Surin ,east_northeast,no_tourist_all,134324
1/1/2019,Nong Khai ,east_northeast,no_tourist_all,259265
1/1/2019,Udon Thani ,east_northeast,no_tourist_all,282871
1/1/2019,Ubon Ratchathani ,east_northeast,no_tourist_all,316431
1/1/2019,Sakon Nakhon ,east_northeast,no_tourist_all,116238
1/1/2019,Yasothon ,east_northeast,no_tourist_all,59234
1/1/2019,Amnat Charoen ,east_northeast,no_tourist_all,21790
1/1/2019,Chaiyaphum ,east_northeast,no_tourist_all,136109
1/1/2019,Satun ,south,no_tourist_all,210906
1/1/2019,Khon Kaen ,east_northeast,no_tourist_all,639369
1/1/2019,Nan ,north,no_tourist_all,113649
1/1/2019,Chiang Rai ,north,no_tourist_all,453291
1/1/2019,Chiang Mai ,north,no_tourist_all,1173786
1/1/2019,Phichit ,north,no_tourist_all,64359
1/1/2019,Nakhon Sawan ,north,no_tourist_all,189826
1/1/2019,Tak ,north,no_tourist_all,241654
1/1/2019,Phitsanulok ,north,no_tourist_all,387608
1/1/2019,Phayao ,north,no_tourist_all,80767
1/1/2019,Phetchabun ,north,no_tourist_all,255911
1/1/2019,Phrae ,north,no_tourist_all,83792
1/1/2019,Lampang ,north,no_tourist_all,117418
1/1/2019,Lamphun ,north,no_tourist_all,117882
1/1/2019,Mae Hong Son ,north,no_tourist_all,146468
1/1/2019,Uttaradit ,north,no_tourist_all,125154
1/1/2019,Uthai Thani ,north,no_tourist_all,76665
